,index,ID,Player,Team,Position,RkOv,Status,Opponent,FPts,FP/G,%D,ADP,Ros,G,VORP,VORPrk,Value
307,181,*052cd*,Mason Mount,MUN,M,182,FA,FUL Fri 3:00PM,140.0,11.67,49%,139.74,51%,11.996572407883463,-101.92857142857142,308,-168.26
308,394,*06msd*,Yukinari Sugawara,SOU,D,395,FA,@NEW Sat 10:00AM,24.0,3.43,8%,324.97,8%,6.997084548104956,-102.14285714285714,309,15.970000000000027
309,182,*05ye7*,Oscar Bobb,MCI,M,183,FA,@CHE Sun 11:30AM,139.5,12.68,43%,135.08,54%,11.001577287066246,-102.42857142857142,310,-174.92
310,395,*0687b*,Alex Moreno,AVL,D,396,FA,@WHU Sat 12:30PM,23.5,5.88,8%,318.51,9%,3.996598639455782,-102.64285714285714,311,7.509999999999991
311,338,*02t20*,Alex McCarthy,SOU,G,339,FA,@NEW Sat 10:00AM,51.0,2.68,0%,1184.8,1%,19.029850746268657,-102.85714285714286,312,872.8
312,396,*068sd*,Jakub Kiwior,ARS,D,397,FA,WOL Sat 10:00AM,23.0,3.29,5%,341.04,9%,6.990881458966565,-103.14285714285714,313,28.04000000000002
313,194,*05s00*,Daniel Jebbison,BOU,F,195,FA,@NOT Sat 10:00AM,127.5,9.81,0%,1200.4,1%,12.996941896024465,-103.14285714285714,314,886.4000000000001
314,198,*05mxc*,Timo Werner,TOT,F,199,FA,@LEI Mon 3:00PM,127.0,11.55,49%,137.2,54%,10.995670995670995,-103.64285714285714,315,-177.8
315,399,*03xrs*,Axel Tuanzebe,IPS,D,400,FA,LIV Sat 7:30AM,21.5,1.95,0%,1216.8,1%,11.025641025641026,-104.64285714285714,316,900.8
316,398,*0522a*,James Bree,SOU,D,399,FA,@NEW Sat 10:00AM,21.5,3.07,0%,1250.0,0%,7.0032573289902285,-104.64285714285714,317,933.0
317,400,*0329y*,Joel Ward,CRY,D,401,FA,@BRF Sun 9:00AM,21.0,2.33,0%,1250.0,1%,9.012875536480687,-105.14285714285714,318,932.0
318,401,*03arh*,Kurt Zouma,WHU,D,402,FA,AVL Sat 12:30PM,20.5,2.93,3%,371.44,3%,6.996587030716723,-105.64285714285714,319,52.44
319,402,*03297*,Conor Townsend,IPS,D,403,FA,LIV Sat 7:30AM,19.5,2.17,0%,1250.0,0%,8.986175115207374,-106.64285714285714,320,930.0
320,345,*06mx2*,Carlos Miguel,NOT,G,348,FA,BOU Sat 10:00AM,47.0,3.36,2%,1110.25,2%,13.988095238095239,-106.85714285714286,321,789.25
321,404,*04adp*,Aaron Wan-Bissaka,MUN,D,405,FA,FUL Fri 3:00PM,19.0,4.75,25%,149.95,36%,4.0,-107.14285714285714,322,-172.05
322,405,*05w9m*,Emerson Royal,TOT,D,406,FA,@LEI Mon 3:00PM,17.5,4.38,1%,1102.94,2%,3.995433789954338,-108.64285714285714,323,779.94
323,212,*03sgc*,Jordan Ayew,CRY,F,213,FA,@BRF Sun 9:00AM,120.5,9.27,10%,302.29,12%,12.998921251348436,-110.14285714285714,324,-21.70999999999998
324,406,*02ln2*,Jonny Evans,MUN,D,407,FA,FUL Fri 3:00PM,16.0,4.0,0%,1102.8,1%,4.0,-110.14285714285714,325,777.8
325,407,*02t1k*,Nathaniel Clyne,CRY,D,408,FA,@BRF Sun 9:00AM,15.0,1.36,0%,1250.0,0%,11.029411764705882,-111.14285714285714,326,924.0
326,191,*063q8*,Mikkel Damsgaard,BRF,M,192,FA,CRY Sun 9:00AM,129.5,8.09,2%,402.59,2%,16.00741656365884,-112.42857142857142,327,75.58999999999997
327,409,*04fyg*,Zanka,BRF,D,410,FA,CRY Sun 9:00AM,13.5,3.38,0%,1250.0,0%,3.9940828402366866,-112.64285714285714,328,922.0
328,408,*02oo1*,Ben Davies,TOT,D,409,FA,@LEI Mon 3:00PM,13.5,3.38,1%,1135.82,1%,3.9940828402366866,-112.64285714285714,329,806.8199999999999
329,195,*04u41*,Mateo Kovacic,MCI,M,196,FA,@CHE Sun 11:30AM,127.5,7.97,6%,344.69,8%,15.997490589711418,-114.42857142857142,330,14.689999999999998
330,411,*05trt*,Andrew Omobamidele,NOT,D,412,FA,BOU Sat 10:00AM,11.5,1.64,0%,1250.0,0%,7.01219512195122,-114.64285714285714,331,919.0
331,410,*06ime*,Radu Dragusin,TOT,D,411,FA,@LEI Mon 3:00PM,11.5,2.88,3%,379.13,4%,3.993055555555556,-114.64285714285714,332,47.129999999999995
332,197,*068a1*,Mykhailo Mudryk,CHE,M,198,FA,MCI Sun 11:30AM,127.0,9.77,62%,136.75,61%,12.998976458546572,-114.92857142857142,333,-196.25
333,412,*04ylt*,Chris Mepham,BOU,D,413,FA,@NOT Sat 10:00AM,10.5,3.5,0%,1250.0,0%,3.0,-115.64285714285714,334,916.0
334,413,*02oq7*,Jack Stephens,SOU,D,414,FA,@NEW Sat 10:00AM,10.0,0.56,0%,1065.8,0%,17.857142857142854,-116.14285714285714,335,730.8
335,200,*061y6*,Ryan Yates,NOT,M,201,FA,BOU Sat 10:00AM,125.5,5.7,0%,1112.2,1%,22.017543859649123,-116.42857142857142,336,776.2
336,221,*04ge9*,Eddie Nketiah,ARS,F,222,FA,WOL Sat 10:00AM,114.0,12.67,13%,277.98,17%,8.997632202052092,-116.64285714285714,337,-59.01999999999998
337,414,*04fk8*,Victor Lindelof,MUN,D,415,FA,FUL Fri 3:00PM,9.5,2.38,1%,1191.07,1%,3.991596638655462,-116.64285714285714,338,853.0699999999999
