"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros"
"*04mup*","Trevoh Chalobah","CHE","D","383","FA","MCI Sun 11:30AM","33","3.67","0%","1184.8","1%"
"*04fyc*","Charlie Taylor","SOU","D","384","FA","@NEW Sat 10:00AM","31.5","2.42","0%","-","1%"
"*05ubt*","Harry Clarke","IPS","D","385","FA","LIV Sat 7:30AM","30.5","3.39","0%","-","0%"
"*06fwx*","Santiago Bueno","WOL","D","386","FA","@ARS Sat 10:00AM","29.5","2.27","0%","-","0%"
"*06eka*","Igor Julio","BHA","D","387","FA","@EVE Sat 10:00AM","29","1.45","0%","-","1%"
"*04qfm*","Ryan Sessegnon","FUL","D","388","FA","@MUN Fri 3:00PM","28.5","7.12","9%","307.3","6%"
"*062oh*","Jake O'Brien","EVE","D","389","FA","BHA Sat 10:00AM","27.5","3.93","6%","343.1","5%"
"*068n9*","Victor Kristiansen","LEI","D","390","FA","TOT Mon 3:00PM","26.5","2.65","2%","1075.4","2%"
"*06ib6*","Tawanda Chirewa","WOL","M","391","FA","@ARS Sat 10:00AM","26","6.5","0%","-","0%"
"*061v9*","Diego Carlos","AVL","D","392","FA","@WHU Sat 12:30PM","26","2.17","1%","1118.83","2%"
"*02lp5*","Adam Smith","BOU","D","393","FA","@NOT Sat 10:00AM","26","1.44","0%","-","0%"
"*03pig*","Jamaal Lascelles","NEW","D","394","FA","SOU Sat 10:00AM","25","2.78","0%","-","0%"
"*06msd*","Yukinari Sugawara","SOU","D","395","FA","@NEW Sat 10:00AM","24","3.43","8%","324.97","8%"
"*0687b*","Alex Moreno","AVL","D","396","FA","@WHU Sat 12:30PM","23.5","5.88","8%","318.51","9%"
"*068sd*","Jakub Kiwior","ARS","D","397","FA","WOL Sat 10:00AM","23","3.29","5%","341.04","9%"
"*06eo0*","Lesley Ugochukwu","CHE","M","398","FA","MCI Sun 11:30AM","22.5","5.62","0%","1168.8","1%"
"*0522a*","James Bree","SOU","D","399","FA","@NEW Sat 10:00AM","21.5","3.07","0%","-","0%"
"*03xrs*","Axel Tuanzebe","IPS","D","400","FA","LIV Sat 7:30AM","21.5","1.95","0%","1216.8","1%"
"*0329y*","Joel Ward","CRY","D","401","FA","@BRF Sun 9:00AM","21","2.33","0%","-","1%"
"*03arh*","Kurt Zouma","WHU","D","402","FA","AVL Sat 12:30PM","20.5","2.93","3%","371.44","3%"
"*03297*","Conor Townsend","IPS","D","403","FA","LIV Sat 7:30AM","19.5","2.17","0%","-","0%"
"*04t95*","Oliver Skipp","TOT","M","404","FA","@LEI Mon 3:00PM","19","4.75","0%","-","0%"
"*04adp*","Aaron Wan-Bissaka","MUN","D","405","FA","FUL Fri 3:00PM","19","4.75","25%","149.95","36%"
"*05w9m*","Emerson Royal","TOT","D","406","FA","@LEI Mon 3:00PM","17.5","4.38","1%","1102.94","2%"
"*02ln2*","Jonny Evans","MUN","D","407","FA","FUL Fri 3:00PM","16","4","0%","1102.8","1%"
"*02t1k*","Nathaniel Clyne","CRY","D","408","FA","@BRF Sun 9:00AM","15","1.36","0%","-","0%"
"*02oo1*","Ben Davies","TOT","D","409","FA","@LEI Mon 3:00PM","13.5","3.38","1%","1135.82","1%"
"*04fyg*","Zanka","BRF","D","410","FA","CRY Sun 9:00AM","13.5","3.38","0%","-","0%"
"*06ime*","Radu Dragusin","TOT","D","411","FA","@LEI Mon 3:00PM","11.5","2.88","3%","379.13","4%"
"*05trt*","Andrew Omobamidele","NOT","D","412","FA","BOU Sat 10:00AM","11.5","1.64","0%","-","0%"
"*04ylt*","Chris Mepham","BOU","D","413","FA","@NOT Sat 10:00AM","10.5","3.5","0%","-","0%"
"*02oq7*","Jack Stephens","SOU","D","414","FA","@NEW Sat 10:00AM","10","0.56","0%","1065.8","0%"
"*04fk8*","Victor Lindelof","MUN","D","415","FA","FUL Fri 3:00PM","9.5","2.38","1%","1191.07","1%"
"*05raa*","Hugo Bueno","WOL","D","416","FA","@ARS Sat 10:00AM","9","2.25","0%","-","1%"
"*06mpc*","Nathan Wood","SOU","D","417","FA","@NEW Sat 10:00AM","6.5","1.62","0%","-","0%"
"*02xtd*","Sam Johnstone","CRY","G","418","FA","@BRF Sun 9:00AM","5","1.25","1%","1123.82","3%"
"*06mq2*","Caleb Okoli","LEI","D","419","FA","TOT Mon 3:00PM","2.5","0.36","0%","-","0%"
"*02ljr*","Conor Coady","LEI","D","420","FA","TOT Mon 3:00PM","1.5","0.38","0%","1171.4","0%"
"*06awq*","George Abbott","TOT","M","421","FA","@LEI Mon 3:00PM","0","0","0%","-","0%"
"*06442*","Zach Abbott","NOT","D","422","FA","BOU Sat 10:00AM","0","0","0%","-","0%"
"*06kwp*","Josh Acheampong","CHE","D","423","FA","MCI Sun 11:30AM","0","0","0%","1053.4","0%"
"*06nvc*","Asher Agbinone","CRY","M","424","FA","@BRF Sun 9:00AM","0","0","0%","-","0%"
"*068ys*","Naouirou Ahamada","CRY","M","425","FA","@BRF Sun 9:00AM","0","0","0%","-","0%"
"*02lkt*","Ali Al Habsi","IPS","F","426","FA","LIV Sat 7:30AM","0","0","1%","1088.8","1%"
"*05ye6*","Will Alves","LEI","M","428","FA","TOT Mon 3:00PM","0","0","0%","-","0%"
"*06byb*","Samuel Amo-Ameyaw","SOU","F","429","FA","@NEW Sat 10:00AM","0","0","0%","-","0%"
"*05vyh*","Andy Moran","BHA","M","599","FA","@EVE Sat 10:00AM","0","0","0%","-","0%"
"*06dmk*","Angelo","CHE","F","452","FA","MCI Sun 11:30AM","0","0","0%","-","0%"
"*059j0*","Faustino Anjorin","CHE","M","430","W (Tue)","MCI Sun 11:30AM","0","0","0%","-","0%"
"*061vk*","Jaidon Anthony","BOU","F","431","FA","@NOT Sat 10:00AM","0","0","0%","1141.8","0%"
"*058vb*","Cameron Archer","AVL","F","432","FA","@WHU Sat 12:30PM","0","0","0%","1133.87","2%"
"*06onv*","Harrison Armstrong","EVE","M","433","W (Tue)","BHA Sat 10:00AM","0","0","0%","-","0%"
"*05ogh*","Harrison Ashby","NEW","D","435","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*04gyd*","Brandon Austin","TOT","G","436","FA","@LEI Mon 3:00PM","0","0","0%","1065.6","0%"
"*068yc*","Yasin Ayari","BHA","M","437","FA","@EVE Sat 10:00AM","0","0","0%","1172.8","1%"
"*06mg5*","Leon Ayinde","IPS","M","438","FA","LIV Sat 7:30AM","0","0","0%","1028.8","0%"
"*06fwk*","Emilio Ballard-Matthews","WOL","F","439","FA","@ARS Sat 10:00AM","0","0","0%","1101.8","0%"
"*06iel*","Ty Barnett","WOL","F","440","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*06nbr*","Stevie Bausor","LEI","G","441","FA","TOT Mon 3:00PM","0","0","0%","1093.2","0%"
"*06fx0*","Altay Bayindir","MUN","G","442","FA","FUL Fri 3:00PM","0","0","0%","1130.1","1%"
"*05uhi*","Owen Beck","LIV","D","443","FA","@IPS Sat 7:30AM","0","0","0%","1049.4","0%"
"*0620j*","Armel Bella Kotchap","SOU","D","444","FA","@NEW Sat 10:00AM","0","0","0%","-","0%"
"*06fwn*","Steven Benda","FUL","G","445","FA","@MUN Fri 3:00PM","0","0","0%","-","0%"
"*06nvd*","Lewys Benjamin","WOL","G","446","FA","@ARS Sat 10:00AM","0","0","0%","1114.4","0%"
"*02lo6*","Daniel Bentley","WOL","G","447","FA","@ARS Sat 10:00AM","0","0","0%","1128.8","1%"
"*05uhm*","Lucas Bergstrom","CHE","G","448","FA","MCI Sun 11:30AM","0","0","0%","-","0%"
"*02ls8*","Marcus Bettinelli","CHE","G","449","FA","MCI Sun 11:30AM","0","0","0%","1063.6","0%"
"*05xtt*","Harvey Blair","LIV","F","450","FA","@IPS Sat 7:30AM","0","0","0%","-","0%"
"*05r4h*","Lamare Bogarde","AVL","D","451","W (Tue)","@WHU Sat 12:30PM","0","0","0%","-","0%"
"*06cm7*","Josh Bowler","NOT","M","453","FA","BOU Sat 10:00AM","0","0","0%","-","0%"
"*05ye5*","Sammy Braybrooke","LEI","M","454","FA","TOT Mon 3:00PM","0","0","0%","-","0%"
"*06mgc*","Logan Briggs","LEI","M","455","FA","TOT Mon 3:00PM","0","0","0%","-","0%"
"*05gvx*","Armando Broja","CHE","F","456","FA","MCI Sun 11:30AM","0","0","1%","1148.22","1%"
"*06mg9*","Gerard Buabo","IPS","F","457","FA","LIV Sat 7:30AM","0","0","0%","-","0%"
"*066sm*","Mason Burstow","CHE","F","458","FA","MCI Sun 11:30AM","0","0","0%","1139.8","0%"
"*05a6j*","Chem Campbell","WOL","M","459","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*06idv*","Elijah Campbell","EVE","D","460","FA","BHA Sat 10:00AM","0","0","0%","-","0%"
"*05opn*","Carlos Vinicius","FUL","F","427","FA","@MUN Fri 3:00PM","0","0","0%","1136.6","0%"
"*0579j*","Scott Carson","MCI","G","462","FA","@CHE Sun 11:30AM","0","0","1%","1048.07","0%"
"*0641g*","Cesare Casadei","CHE","M","464","FA","MCI Sun 11:30AM","0","0","0%","-","0%"
